,guid,premise,hypothesis,label
38150,1468182643310,An African woman carries a parcel on her head.,A package is being held on a woman's noggin.,0
38151,1468182643312,An African woman carries a parcel on her head.,The woman is returning with her clean laundry.,1
38152,1468182643311,An African woman carries a parcel on her head.,The an balances a box on his head.,2
38174,3273969811412,White dove glides above water.,Some birds are gliding back home,1
38175,3273969811410,White dove glides above water.,There are birds gliding,0
38176,3273969811411,White dove glides above water.,There are birds touching water,2
38224,7712223846112,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors are close to tying.,1
38225,7712223846110,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors have trained very hard and are all very close to the finish line.,0
38226,7712223846111,"Neck and neck to the finish line, every competitor has been training for this race.",The competitors are not doing a good job.,2
38278,1196886054311,The people are following the Bride and the Groom at a wedding.,People follow the twin's in their birthday party.,2
38279,1196886054312,The people are following the Bride and the Groom at a wedding.,A recently married couple are being followed at a wedding.,1
38280,1196886054310,The people are following the Bride and the Groom at a wedding.,Bride and groom walk down the aisle.,0
38539,4672131242111,A man standing at the back of a blue vehicle with the door open.,A man driving a car,2
38540,4672131242112,A man standing at the back of a blue vehicle with the door open.,A man loading a truck,1
38541,4672131242110,A man standing at the back of a blue vehicle with the door open.,A man near a stopped vehicle,0
38656,3131107810410,Four children huddle under a blanket.,Four children are all under the same blanket.,0
38657,3131107810411,Four children huddle under a blanket.,Four children are all sitting on top of a blanket.,2
38658,3131107810412,Four children huddle under a blanket.,Four children are huddled under a blanket telling ghost stories.,1
38800,373219198210,The golden dog is standing by logs in a parking lot.,The golden dog is near a lot of cars.,0
38801,373219198211,The golden dog is standing by logs in a parking lot.,The golden dog is standing by logs in a parking lot juggling beach balls.,2
38802,373219198212,The golden dog is standing by logs in a parking lot.,The golden dog is standing by logs in the parking lot of a building.,1
38878,4080351447211,A cook is in the kitchen looking at the camera.,girl is cooking in home.,2
38879,4080351447212,A cook is in the kitchen looking at the camera.,boy watching the camera.,1
38880,4080351447210,A cook is in the kitchen looking at the camera.,a man looking camera in the kitchen.,0
39399,3527320221210,"Two cage fighters, both shirtless, fight against each other in a cage.",Two people cage fighting.,0
39400,3527320221211,"Two cage fighters, both shirtless, fight against each other in a cage.",People killing each other.,2
39401,3527320221212,"Two cage fighters, both shirtless, fight against each other in a cage.",People wrestling in a ring.,1
39447,118897631210,Dog waits for food as an elder woman is cooking on the stove.,The dog stares at the woman waiting for food.,0
39448,118897631212,Dog waits for food as an elder woman is cooking on the stove.,The dog is begging the elderly lady for food.,1
39449,118897631211,Dog waits for food as an elder woman is cooking on the stove.,The elderly lady is hugging the dog.,2
39576,4917188600112,An older woman and man in uniform stand in front of a music podium while an accordion player plays nearby.,The man is wearing the uniform,1
39577,4917188600110,An older woman and man in uniform stand in front of a music podium while an accordion player plays nearby.,The older woman is wearing a uniform,0
39578,4917188600111,An older woman and man in uniform stand in front of a music podium while an accordion player plays nearby.,The man is sleeping.,2
39687,5924136287112,A woman looks into a telescope while a boy in a cap in the background looks toward the sky.,A woman looks at the stars with a telescope.,1
39688,5924136287111,A woman looks into a telescope while a boy in a cap in the background looks toward the sky.,A woman looks into a colidascope.,2
39689,5924136287110,A woman looks into a telescope while a boy in a cap in the background looks toward the sky.,A woman looks in a telescope.,0
39759,6935146937412,A basketball player slam dunks the basketball.,The basketball player dunks from the free throw line.,2
39760,6935146937411,A basketball player slam dunks the basketball.,He hits a 3 pointer.,2
39761,6935146937410,A basketball player slam dunks the basketball.,A player dunks the ball.,0
39869,283252248312,A smiling clown is sitting on a bench with three other people.,The bench is in a park.,1
39870,283252248310,A smiling clown is sitting on a bench with three other people.,A clown smiles.,0
39871,283252248311,A smiling clown is sitting on a bench with three other people.,A clown juggled in front of three other people.,2
40010,175299591210,A young boy in a orange shirt watching something.,The boy is watching an event.,0
40011,175299591211,A young boy in a orange shirt watching something.,The young boy is reading.,2
40012,175299591212,A young boy in a orange shirt watching something.,The boy is watching tv.,1
40127,3815003515110,An old minivan painted to look like the Mystery Machine from Scooby-Doo drives past a white building.,Painted minivan of scooby doo,0
40128,3815003515111,An old minivan painted to look like the Mystery Machine from Scooby-Doo drives past a white building.,Painted minivan of mightymouse,2
40129,3815003515112,An old minivan painted to look like the Mystery Machine from Scooby-Doo drives past a white building.,Painted minivan to enter into the cartoon hall of fame,1
40190,2230871228112,"A caterer preparing food at an outdoor venue, with many dished on display.",The caterer cooked every single dish on display.,1
40191,2230871228110,"A caterer preparing food at an outdoor venue, with many dished on display.",There is a lot of food on display at the outdoor venue.,0
40192,2230871228111,"A caterer preparing food at an outdoor venue, with many dished on display.",The food on display was delivered here by restaurants.,2
40256,2922222717312,A small dog bites a ladies fingers.,A small dog viciously mauls its owner.,1
40257,2922222717310,A small dog bites a ladies fingers.,A small dog playfully nibbles its owner.,0
40258,2922222717311,A small dog bites a ladies fingers.,A small dog carefully aims a rifle.,2
40259,3281580623110,Two standing dogs and one brown dog lying on its back interact.,One dog is submitting to other dogs.,0
40260,3281580623112,Two standing dogs and one brown dog lying on its back interact.,Three dogs are playing.,1
40261,3281580623111,Two standing dogs and one brown dog lying on its back interact.,Three dogs are running through the park.,2
40307,505062117411,A black dog is swimming with a ball in its mouth.,the birds were short necked,2
40308,505062117412,A black dog is swimming with a ball in its mouth.,the child is black,1
40309,505062117410,A black dog is swimming with a ball in its mouth.,a bird was on rocks,0
40328,7725290846410,A surfer rides a wave to shore.,A surfer hangs ten.,0
40329,7725290846412,A surfer rides a wave to shore.,A surfer poses for a magazine picture.,2
40330,7725290846411,A surfer rides a wave to shore.,A clown juggles.,2
40568,7320251226310,A hockey goalie realizes he let the puck go by him.,The puck went in the goal.,0
40569,7320251226312,A hockey goalie realizes he let the puck go by him.,The goalie did not see the puck.,1
40570,7320251226311,A hockey goalie realizes he let the puck go by him.,The goalie stopped the puck from passing him.,2
40607,3252793829412,A man in a brown jacket is in a street with tall buildings.,A man in a brown jacket is visiting someone in a city.,1
40608,3252793829410,A man in a brown jacket is in a street with tall buildings.,A man is in a city.,0
40609,3252793829411,A man in a brown jacket is in a street with tall buildings.,A man in a brown jacket is in a field.,2
40751,3426956912411,A group of people riding on the bed of a truck along a gravel road.,The truck is parked.,2
40752,3426956912412,A group of people riding on the bed of a truck along a gravel road.,The truck is about to go onto a paved road.,1
40753,3426956912410,A group of people riding on the bed of a truck along a gravel road.,The truck is driving on a gravel road.,0
40847,4469878736112,A young woman in a denim skit waking in front of a garage.,The woman is wearing a short skirt.,1
40848,4469878736111,A young woman in a denim skit waking in front of a garage.,The women is inside.,2
40849,4469878736110,A young woman in a denim skit waking in front of a garage.,The woman is wearing a skirt.,0
40856,2512683710310,A ship sails in a blue sea.,A boat is in the water.,0
40857,2512683710311,A ship sails in a blue sea.,The boat is flying through the air quickly.,2
40858,2512683710312,A ship sails in a blue sea.,The boat will stay afloat no matter what.,1
40871,4537666932012,Here is a young man sitting on the ground looking for inspiration for a new drawing that is about architecture.,The young man is deep in thought.,1
40872,4537666932010,Here is a young man sitting on the ground looking for inspiration for a new drawing that is about architecture.,The young man is sitting outside.,0
40873,4537666932011,Here is a young man sitting on the ground looking for inspiration for a new drawing that is about architecture.,The man is playing football with his friends.,2
40964,1493288603212,A man and a woman holding a blue and green slushy on a busy street corner.,A man and woman eat a slushy at a state fair.,1
40965,1493288603211,A man and a woman holding a blue and green slushy on a busy street corner.,Kids wait in line to get slushies.,2
40966,1493288603210,A man and a woman holding a blue and green slushy on a busy street corner.,A man and woman hold a slushy.,0
41000,5797618847210,Odd child with fake eye barrows and a cut on his lip holds out his right hand.,The boy is hurt.,0
41001,5797618847211,Odd child with fake eye barrows and a cut on his lip holds out his right hand.,The child is doing cartwheels.,2
41002,5797618847212,Odd child with fake eye barrows and a cut on his lip holds out his right hand.,The child has shaved off his eyebrows.,1
41018,4882763253211,AA woman in a stroller is walking outside pushing a child in a stroller.,A woman is carrying her child.,2
41019,4882763253212,AA woman in a stroller is walking outside pushing a child in a stroller.,A woman is pushing her child.,1
41020,4882763253210,AA woman in a stroller is walking outside pushing a child in a stroller.,A woman is pushing a stroller.,0
41111,1813777902112,A boy with a skeleton on his shirt laughs.,A boy with a black hat laughing,1
41112,1813777902111,A boy with a skeleton on his shirt laughs.,A skeleton laughing,2
41113,1813777902110,A boy with a skeleton on his shirt laughs.,A boy laughing,0
41132,5954939506012,"A happy picnic or small feast, including various types of meat, sodas, utensils, bowls and even Pepsi.",The picnic includings various meat,1
41133,5954939506011,"A happy picnic or small feast, including various types of meat, sodas, utensils, bowls and even Pepsi.",The picnic is dead.,2
41134,5954939506010,"A happy picnic or small feast, including various types of meat, sodas, utensils, bowls and even Pepsi.",The picnic is small,0
41204,2183123018211,Three men are working on a road wearing hard hats and bright yellow construction gear.,Construction workers are working on a new housing project.,2
41205,2183123018210,Three men are working on a road wearing hard hats and bright yellow construction gear.,Guys are wearing gear suited to construction work.,0
41206,2183123018212,Three men are working on a road wearing hard hats and bright yellow construction gear.,Guys are wearing yellow construction hard hats.,1
41458,2404959574311,A woman in a blue shirt is looking at a black ram.,man feeding birds in the park,2
41459,2404959574312,A woman in a blue shirt is looking at a black ram.,woman staring at a stranger,1
41460,2404959574310,A woman in a blue shirt is looking at a black ram.,woman watching a man,0
41485,2607130765312,Children play in a soccer game.,the boy liked cowboys,1
41486,2607130765311,Children play in a soccer game.,the child was 18 years old,2
41487,2607130765310,Children play in a soccer game.,two boys ride skateboard,0
41542,4376216802310,An Indian woman stringing a loom of yarn.,The woman is working with yarn.,0
41543,4376216802311,An Indian woman stringing a loom of yarn.,The woman is making food.,2
41544,4376216802312,An Indian woman stringing a loom of yarn.,The woman is making a necklace.,1
41925,4688306495110,People dressed as doctors are in an operating room setting.,There are people in doctor costumes in the operating room setting.,0
41926,4688306495111,People dressed as doctors are in an operating room setting.,Doctors are in an operating room to dress as people.,2
41927,4688306495112,People dressed as doctors are in an operating room setting.,People in doctor uniforms are waiting the party to get started.,1
42084,4691807711012,"A man wearing red sunglasses who is sitting down on the side of a water fountain talking on this cellphone, in a public place.",The man is calling his mother on Mother's Day.,1
42085,4691807711010,"A man wearing red sunglasses who is sitting down on the side of a water fountain talking on this cellphone, in a public place.",A man with red sunglasses is sitting near a water fountain talking on his phone.,0
42086,4691807711011,"A man wearing red sunglasses who is sitting down on the side of a water fountain talking on this cellphone, in a public place.",A man with red sunglasses sticks his whole head into the fountain to cool off.,2
42516,45934206410,"Two guys and a girl in shop, on laptops.",Two guys are in a shop,0
42517,45934206412,"Two guys and a girl in shop, on laptops.",Two guys and a girl are shopping,1
42518,45934206411,"Two guys and a girl in shop, on laptops.",The people are fighting each other.,2
42543,3484832904410,A girl playing softball takes a strike.,A girl watches a pitch go by her.,0
42544,3484832904412,A girl playing softball takes a strike.,"A girl plays softball and doesn't swing at a pitch, hoping it would be the 4th ball and she would get a walk.",1
42545,3484832904411,A girl playing softball takes a strike.,A girl gets hit by a pitch in softball.,2
42582,5558592310,Three men sit contemplating their next bull ride.,The men want to ride the bull.,0
42583,5558592311,Three men sit contemplating their next bull ride.,The men have never ridden a bull before.,2
42584,5558592312,Three men sit contemplating their next bull ride.,The men just rode the bull.,1
42642,6187182607210,"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The hitter is holding the bat.,0
42643,6187182607212,"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The men are wearing white uniforms.,1
42644,6187182607211,"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The men are standing on the basketball court.,2
42645,6187182607310,"A baseball player, with the catcher and umpire shown behind him, is about to hit the ball.",Several people are on a baseball field.,0
42646,6187182607312,"A baseball player, with the catcher and umpire shown behind him, is about to hit the ball.",One of the people is holding a baseball bat.,1
42647,6187182607311,"A baseball player, with the catcher and umpire shown behind him, is about to hit the ball.",The umpire is standing in front of the player.,2
42894,3328646934310,a young person sliding down a sandy hill.,A young person is on a hill.,0
42895,3328646934312,a young person sliding down a sandy hill.,They are sledding.,1
42896,3328646934311,a young person sliding down a sandy hill.,The young person is on the beach.,2
42978,524031846311,Boy reaches up while in pool.,Boy struggling to stay afloat while lifeguard swims towards him.,2
42979,524031846310,Boy reaches up while in pool.,Boy swimming.,0
42980,524031846312,Boy reaches up while in pool.,Boy playing diving games in pool.,1
43116,3296500180012,A man jumps a bicycle down a porch stairway too close to the fence.,The man is a good trick jumper.,1
43117,3296500180010,A man jumps a bicycle down a porch stairway too close to the fence.,The man almost hits the fence jumping his bicycle.,0
43118,3296500180011,A man jumps a bicycle down a porch stairway too close to the fence.,The man crashes into the fence.,2
43161,3336831820212,Several people are standing in front of a white wall with pictures on it.,A group of people are buying paintings.,1
43162,3336831820211,Several people are standing in front of a white wall with pictures on it.,A group of people are sleeping.,2
43163,3336831820210,Several people are standing in front of a white wall with pictures on it.,A group of people are looking at the paintings.,0
43179,214597976111,One man in a baseball cap is watching a man in glasses paint watches.,The man in glasses is painting a fence.,2
43180,214597976110,One man in a baseball cap is watching a man in glasses paint watches.,A man is painting.,0
43181,214597976112,One man in a baseball cap is watching a man in glasses paint watches.,A man is holding a paintbrush.,1
43257,2552438538012,"Three boys are standing in a row along an upraised wall and rail, each a level higher than the one before.","Three boys are standing on bleachers, watching the team practice.",1
43258,2552438538010,"Three boys are standing in a row along an upraised wall and rail, each a level higher than the one before.",Three boys on staggered levels.,0
43259,2552438538011,"Three boys are standing in a row along an upraised wall and rail, each a level higher than the one before.",A baseball team celebrates at the bar.,2
43359,4439089558410,Girl with floppy purple hat at intersection in big city.,There is a lot of traffic,0
43360,4439089558411,Girl with floppy purple hat at intersection in big city.,The girl is in the middle of the desert,2
43361,4439089558412,Girl with floppy purple hat at intersection in big city.,There's a taxi cab nearby.,1
43395,4070112495011,Girl dressed up as a black cat stands next to monitor.,the pen is red,2
43396,4070112495010,Girl dressed up as a black cat stands next to monitor.,girl in a cat costume stands by the monitor,0
43397,4070112495012,Girl dressed up as a black cat stands next to monitor.,children in costumes are standing still,1
43410,357870895112,"a girl is sleeping in the metro by putting her head on his boyfriend, s shoulder",A couple is wearing snow gear inside a bus.,1
43411,357870895111,"a girl is sleeping in the metro by putting her head on his boyfriend, s shoulder",A couple is sleeping at home.,2
43412,357870895110,"a girl is sleeping in the metro by putting her head on his boyfriend, s shoulder",A couple is on a bus.,0
43491,3255737244011,A little boy kisses a little girl on the side of the road.,A boy are playing with some other childrens,2
43492,3255737244010,A little boy kisses a little girl on the side of the road.,One litle boy kisses a little girl on nearby the road,0
43493,3255737244012,A little boy kisses a little girl on the side of the road.,The childrens are standing on the side of the road,1
43641,6279531366412,An older man is tending to a garden.,An old man attends to his fruit patch.,1
43642,6279531366410,An older man is tending to a garden.,An older man is outside.,0
43643,6279531366411,An older man is tending to a garden.,An old man walks outside.,2
43868,3425061393111,Tennis champ Rafael Nadal lunges to return a ball.,The tennis champ has decided to quit playing tennis.,2
43869,3425061393112,Tennis champ Rafael Nadal lunges to return a ball.,The tennis champ is falling on the ground to save the ball.,1
43870,3425061393110,Tennis champ Rafael Nadal lunges to return a ball.,The tennis champ is trying hard to win the game.,0
44018,136493345011,A rain bow is formed from water that is splashed from a tank on the street.,A rain bow has no color.,2
44019,136493345012,A rain bow is formed from water that is splashed from a tank on the street.,A rain bow is on the car mirror.,1
44020,136493345010,A rain bow is formed from water that is splashed from a tank on the street.,A rain bow is formed from water.,0
44048,2888658480210,Two boys jump from rocks into a green mountain pool.,Two boys are playing in a natural pool,0
44049,2888658480211,Two boys jump from rocks into a green mountain pool.,The pool is a man-made pool,2
44050,2888658480212,Two boys jump from rocks into a green mountain pool.,The boys are wearing matching swim suits,1
44054,2888658480011,Two people jump off the rocks and into the greenish water below.,Two people are rock climbing.,2
44055,2888658480012,Two people jump off the rocks and into the greenish water below.,Two people are playing in the water.,1
44056,2888658480010,Two people jump off the rocks and into the greenish water below.,Two people jump off the rocks.,0
44114,2401794446312,Two girls and a guy taking pictures with their cellphones.,two girls and guy are playing with their phones,1
44115,2401794446310,Two girls and a guy taking pictures with their cellphones.,Two girls and a guy are taking a selfies,0
44116,2401794446311,Two girls and a guy taking pictures with their cellphones.,The kids are fighting with their phones.,2
44237,2107144323112,Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,Two girls are playing in a hallway.,1
44238,2107144323111,Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,Two girls are in a classroom.,2
44239,2107144323110,Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,One girl has a finger in the other girl's mouth.,0
44288,2354366043011,Two people in brightly colored outfits handle squares of fabric with colorful designs.,The people are tearing the fabric up.,2
44289,2354366043010,Two people in brightly colored outfits handle squares of fabric with colorful designs.,People are touching fabric.,0
44290,2354366043012,Two people in brightly colored outfits handle squares of fabric with colorful designs.,The people like bright colors.,1
44312,2272823323112,Two men in red and orange jackets leaning on poles in the snow.,Two men are friends.,1
44313,2272823323111,Two men in red and orange jackets leaning on poles in the snow.,Two men are sitting.,2
44314,2272823323110,Two men in red and orange jackets leaning on poles in the snow.,Two men participating in a sport.,0
44543,961220478011,Asian sports team in yellow and blue colors sitting on ground with a standing individual in a tiger mascot costume.,A sports team poses with the cheerleaders.,2
44544,961220478012,Asian sports team in yellow and blue colors sitting on ground with a standing individual in a tiger mascot costume.,A sports team poses with their mascot.,1
44545,961220478010,Asian sports team in yellow and blue colors sitting on ground with a standing individual in a tiger mascot costume.,A sports team poses with a mascot.,0
44546,4740975956110,A man with long dreadlocks is stopped by two men in blue uniforms.,A man with dreadlocks is talking with a couple of men.,0
44547,4740975956112,A man with long dreadlocks is stopped by two men in blue uniforms.,A man with dreadlocks is seated in a car that has been pulled over.,1
44548,4740975956111,A man with long dreadlocks is stopped by two men in blue uniforms.,A man with dreadlocks alone in a library.,2
44564,3201517121411,A pair of twins in a playful fight.,Two children are fighting.,2
44565,3201517121412,A pair of twins in a playful fight.,Two boys are wrestling.,1
44566,3201517121410,A pair of twins in a playful fight.,Twins are play fighting.,0
44729,2908859957210,A little girl in a yellow dress jumping rope.,The girl in a yellow dress is playing with a jump rope.,0
44730,2908859957212,A little girl in a yellow dress jumping rope.,The girl is singing to herself.,1
44731,2908859957211,A little girl in a yellow dress jumping rope.,The girl is reading a book.,2
44885,1597319381411,Boys soccer teams playing a game.,Soccer players shaking hands after the match.,2
44886,1597319381410,Boys soccer teams playing a game.,Some children competing.,0
44887,1597319381412,Boys soccer teams playing a game.,Two teams of boys vie for control of the soccer ball.,1
44948,5456046008111,A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,Nobody is climbing,2
44949,5456046008110,A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,A human climing,0
44950,5456046008112,A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,A tall human climbing,1
44962,3848578709011,A man in a blue shirt and sweater sitting outside against a blue building sewing silver fabric.,A man starts fabric company.,2
44963,3848578709010,A man in a blue shirt and sweater sitting outside against a blue building sewing silver fabric.,A man is protesting a blue building sewing silver fabric.,0
44964,3848578709012,A man in a blue shirt and sweater sitting outside against a blue building sewing silver fabric.,A man in a blue shirt looks smart.,1
44986,767310011212,Several workers are building bleachers near a very large building.,There are lots of construction workers building a set of bleachers outside.,1
44987,767310011211,Several workers are building bleachers near a very large building.,The small building was never getting a renovation.,2
44988,767310011210,Several workers are building bleachers near a very large building.,There's new bleachers going in by our building.,0
45013,4823233954210,A man on a motorbike is leading a horse that is giving someone a ride.,The man on the motocycle is leading a horse and rider.,0
45014,4823233954211,A man on a motorbike is leading a horse that is giving someone a ride.,The man on the motocycle just passed by a horse and rider.,2
45015,4823233954212,A man on a motorbike is leading a horse that is giving someone a ride.,Someone is riding a horse bareback.,1
45235,8140285876110,A fashion model is posing for the camera wearing a revealing top.,A person is posing.,0
45236,8140285876111,A fashion model is posing for the camera wearing a revealing top.,An old man napping on the couch.,2
45237,8140285876112,A fashion model is posing for the camera wearing a revealing top.,A person is posing for a photo at the beach.,1
45277,4688994030312,A medical worker wearing a mask in the hospital.,A woman is in the hosptial working.,1
45278,4688994030310,A medical worker wearing a mask in the hospital.,There is a worker in the hospital.,0
45279,4688994030311,A medical worker wearing a mask in the hospital.,A patient wearing a mask in her home.,2
45286,4111420077011,A young man carries a big basket while an older man behind him talks on a cellphone.,A young man is talking on the cell phone while the older man carries a basket.,2
45287,4111420077012,A young man carries a big basket while an older man behind him talks on a cellphone.,A young man carries a basket of laundry while his father talks to his mom on his phone.,1
45288,4111420077010,A young man carries a big basket while an older man behind him talks on a cellphone.,There are two people close together.,0
45463,4851552952111,A woman is posing atop a scooter while a photographer prepares her camera.,A woman is posing atop a scooter for some random tourist.,2
45464,4851552952110,A woman is posing atop a scooter while a photographer prepares her camera.,A woman is posing atop a scooter while a photographer prepares her camera.,0
45465,4851552952112,A woman is posing atop a scooter while a photographer prepares her camera.,A woman is posing atop a scooter while a photographer prepares her camera and looks at the lady.,1
45478,4629625465210,"A young boy wearing a red shirt, standing on top of a bench in the shower.",A boy is not on the ground,0
45479,4629625465212,"A young boy wearing a red shirt, standing on top of a bench in the shower.",A boy is trying to reach something,1
45480,4629625465211,"A young boy wearing a red shirt, standing on top of a bench in the shower.",a boy is on the ground,2
45574,3147758035310,A man on a bicycle and a man on foot in a crosswalk.,Two men in a cross walk.,0
45575,3147758035312,A man on a bicycle and a man on foot in a crosswalk.,A man on a bike passes a man on foot.,1
45576,3147758035311,A man on a bicycle and a man on foot in a crosswalk.,Two men on a bike in a crosswalk.,2
45607,242559369110,A naked woman is taking a dip in an isolated rocky pool.,Woman skinny-dipping in water.,0
45608,242559369111,A naked woman is taking a dip in an isolated rocky pool.,A woman singing an opera on stage.,2
45609,242559369112,A naked woman is taking a dip in an isolated rocky pool.,A lady donning her birthday suit and reliving her glory days.,1
45649,3745451546210,A man reaches the top of a tall sand dune.,A man finishes a long climb and stands at the top of a large sand dune,0
45650,3745451546212,A man reaches the top of a tall sand dune.,"A man crawls to the top of a large sand dune, having climbed most of the way.",1
45651,3745451546211,A man reaches the top of a tall sand dune.,"A man and woman are climbing a large dune, with a few hundred meters remaining",2
45652,3745451546311,A person is hiking to the top of a hill.,A person is walking down to a lake.,2
45653,3745451546310,A person is hiking to the top of a hill.,A person is going for a walk.,0
45654,3745451546312,A person is hiking to the top of a hill.,A person is walking a long way.,1
45709,4722201236010,A man is bending over to get water at a fountain behind a bronze statue that is reaching out over the fountain.,Man playing with water from fountain.,0
45710,4722201236011,A man is bending over to get water at a fountain behind a bronze statue that is reaching out over the fountain.,Man got electric shock while his hand touching the fountain.,2
45711,4722201236012,A man is bending over to get water at a fountain behind a bronze statue that is reaching out over the fountain.,Man tried to waste water from the fountain.,1
45839,4129180972310,A man with a backpack is walking down a pier next to the water,A man is walking on a beach.,2
45840,4129180972312,A man with a backpack is walking down a pier next to the water,A man is walking on a beach with his kids and a dog.,1
45841,4129180972311,A man with a backpack is walking down a pier next to the water,Some people were sitting in the yard at a house party.,2
45944,2401201668311,A family stops on a busy street to get something to drink.,The family throws the water away,2
45945,2401201668312,A family stops on a busy street to get something to drink.,They are decided on soda,1
45946,2401201668310,A family stops on a busy street to get something to drink.,They want to drink something soon,0
46340,476112515210,A line of people making poses in front of a camel statue.,The people are waiting to pose infront of a camel statue.,0
46341,476112515212,A line of people making poses in front of a camel statue.,The camel statue is made of gold.,1
46342,476112515211,A line of people making poses in front of a camel statue.,"At the art exhibit, no one notices the marble camel statue in the corner.",2
46346,4857560023312,A healthcare worker giving a young baby a bath.,A working is bathing a newborn baby.,1
46347,4857560023311,A healthcare worker giving a young baby a bath.,A mom is bathing a baby.,2
46348,4857560023310,A healthcare worker giving a young baby a bath.,A worker is giving a baby a bath.,0
46394,4552368228311,Man in brimmed hat with several horses pulling a plow through dirt.,Man is eating a horse since he's hungry,2
46395,4552368228310,Man in brimmed hat with several horses pulling a plow through dirt.,Man is riding a horse while pulling through dirt,0
46396,4552368228312,Man in brimmed hat with several horses pulling a plow through dirt.,Man is riding a horse while pulling through dirt with friends,1
46406,408474778211,A baby pulling all his toys out of his bin.,The baby is sleeping.,2
46407,408474778212,A baby pulling all his toys out of his bin.,The baby is reaching for his truck.,1
46408,408474778210,A baby pulling all his toys out of his bin.,The baby is playing.,0
46412,407678652411,five hikers walk down the hillside.,"The five hikers ran so fast down the hillside, that someone fell and got injured",2
46413,407678652410,five hikers walk down the hillside.,Five hikers walk down the hillside,0
46414,407678652412,five hikers walk down the hillside.,Five hikers slowly went down the hillside,1
46478,8065680234311,There are a few people at a subway station and a subway is coming by.,the subway is not working,2
46479,8065680234310,There are a few people at a subway station and a subway is coming by.,people are inside a station,0
46480,8065680234312,There are a few people at a subway station and a subway is coming by.,people are waiting for the subway,1
46526,7711590378111,A woman in a blue karate uniform and a woman in a white karate uniform fight each other while two people wearing suits watch them.,The color of uniforms signify whether they are married or not.,2
46527,7711590378110,A woman in a blue karate uniform and a woman in a white karate uniform fight each other while two people wearing suits watch them.,The two women are competing against each other.,0
46528,7711590378112,A woman in a blue karate uniform and a woman in a white karate uniform fight each other while two people wearing suits watch them.,The women are mortal enemies.,1
46685,3721584359011,The men wear ear protection as one of them lifts up the outer shell of the race car to reveal the engine inside.,The men are wearing no ear protection because they don't care.,2
46686,3721584359010,The men wear ear protection as one of them lifts up the outer shell of the race car to reveal the engine inside.,The men don't want to damage their ears.,0
46687,3721584359012,The men wear ear protection as one of them lifts up the outer shell of the race car to reveal the engine inside.,The men are racing fast.,1
46915,3970078088010,Man in striped pants and mustard yellow shirt sits at a outside table at a restaurant.,A man is at a restaurant.,0
46916,3970078088011,Man in striped pants and mustard yellow shirt sits at a outside table at a restaurant.,A well dressed soothsayer is at a high-class party drinking champagne.,2
46917,3970078088012,Man in striped pants and mustard yellow shirt sits at a outside table at a restaurant.,Ronald Mc'donald wanted a free sandwich.,1
47175,5419695587210,A mother holding her sleeping baby is looking outside through the glass patio doors.,A mother looks outside.,0
47176,5419695587212,A mother holding her sleeping baby is looking outside through the glass patio doors.,A mother watches her other children play outside.,1
47177,5419695587211,A mother holding her sleeping baby is looking outside through the glass patio doors.,A mother is putting her baby to bed.,2
47313,58363930110,A person in a blue hat climbing up a snow covered mountain.,It is below freezing.,0
47314,58363930112,A person in a blue hat climbing up a snow covered mountain.,The person is carrying a bedroll on his back.,1
47315,58363930111,A person in a blue hat climbing up a snow covered mountain.,The man is in a desert.,2
47472,4945451922011,A group of Asian soldiers dressed in traditional soldier equipment march along side soldiers atop elephants.,soldiers ride elephants,2
47473,4945451922012,A group of Asian soldiers dressed in traditional soldier equipment march along side soldiers atop elephants.,soldiers march to music,1
47474,4945451922010,A group of Asian soldiers dressed in traditional soldier equipment march along side soldiers atop elephants.,soldiers march with elephants,0
47511,1130369873210,A brown dog is running through neck-deep water carrying a tennis ball.,a bird was on rocks,2
47512,1130369873212,A brown dog is running through neck-deep water carrying a tennis ball.,THE grass was green,1
47513,1130369873211,A brown dog is running through neck-deep water carrying a tennis ball.,not watched at alll,2
47583,739944535210,A group of boaters boating down a winding waterway.,The group floats down the river.,0
47584,739944535212,A group of boaters boating down a winding waterway.,The group canoes down the river.,1
47585,739944535211,A group of boaters boating down a winding waterway.,The boats are tied to the dock.,2
47589,290764786212,A man in a wheelchair is sleeping on a sidewalk.,There is a man sleeping in cold weather,1
47590,290764786211,A man in a wheelchair is sleeping on a sidewalk.,There is a man awake outdoors,2
47591,290764786210,A man in a wheelchair is sleeping on a sidewalk.,There is a man sleeping,0
47937,3141832468010,A young boy wearing a hat made out of balloons smiles along with his dad.,a young boy having is wonderful time with his parent.,0
47938,3141832468012,A young boy wearing a hat made out of balloons smiles along with his dad.,A young boy walking with his parent,1
