premise,hypothesis,label
A man on his telephone outside.,Man waterskiing,2
"Two men are walking down a dirt road with guns, as one carries a dead animal from hunting.","Two men have guns, and one has an animal.",0
A man in a blue shirt walking on scaffolding.,The man is walking.,0
A man in jeans pulling a suitcase.,A man has a suitcase.,0
Man in black with one foot on top of a ladder and arms performing a task on a storefront.,A man sits on a bench.,2
People are in an area where there is lighting illuminating the area.,People are in an area where there is light.,0
A woman swings at a tennis ball.,A woman is shooting baskets at the local YMCA.,2
Man kayaking through rough waters.,A man is trying to get back to camp.,1
An male in a white t-shirt and denim shorts skateboarding down a path.,A girl is riding her bike.,2
"In this photo, a man is playing an instrument in front of a group of people.",The man is doing stand up comedy.,2
A group of men in white hard hats inside an industrial building with one shooting a picture.,A group of men are on a tour of an industrial building,1
"A sign that displays ""Mongolian BBQ"" shines above two employees in white shirts and caps and green aprons.",the men are at church dancing,2
People eating at a chinese restaurant.,There was no one eating at the Chinese restaurant.,2
A young boy is inside a couch cushion with stuffing hanging out.,A young boy is playing hide and seek with his sister.,1
A woman in a black dress is leaving footprints in the sand as she walks towards the ocean.,"The poem  ""Footprints in the Sand"" is written in the sand.",1
A male bike rider wearing a green shirt and white helmet leads a bike race with a fellow friend.,The bike rider is leading.,0
A lady sleeps while seated in a yellow chair.,a woman reads in a blue lounger,2
Three men walk down an alley tying to avoid the rain.,The are trying to get out of the rain.,0
A crowd standing in groups on cement area across from parking lot and building in background.,The group was standing across from the parking lot.,0
A man in a striped polo shirt is pointing and smiling.,The man is outside,1
People in summer clothes are walking on the sidewalk of a large city.,A group is farming cotton,2
Man on a motorcycle performing a trick in the air.,The man on the motorcycle is part of the circus.,1
Man in a suit with red vest talking to a woman in a jacket with a fur collar.,The man hurls his wife into a vat of jello.,2
Two women and a man are working in the garden.,The peolple are planting flowers.,1
A woman poses with a small girl on her lap in front of a flower bush.,A mother and daughter playing at the beach.,2
The people on the street need to be wearing sunscreen.,It is sunny on the street.,1
A construction worker standing on the roof of a house wearing an orange vest with a yellow hard hat.,A construction worker is on the job.,0
Colorfully dressed jockeys riding their horses in a race.,There are jockeys dressed in black and white.,2
A little kid playing GameCube at McDonald's.,A little boy playing Mario on a GameCube at McDonald's.,1
A man in yellow and green shorts jumping in a living room.,A man has yellow and white shorts.,2
A man on a bike halfway through his back flip jump while the crowd looks in awe.,A man looks at people as he performs his bike trick,0
A man is using his computer in a kitchen.,A man uses his computer.,0
Child in red and blue shirt painting a log.,A log is being painted by a child.,0
"3 men and woman waiting outside if a large building, possibly at an elevator.","Several people standing around building, possibly waiting for elevator",0
a toddler takes his first glimpse of the wonders of video games.,A toddler interacts with a video game.,0
3 men in blue scrubs in an operating room around a patient hidden by a blue sheet.,The patient is undergoing surgery,1
A man in a green shirt with red and blue leggings is sitting on a concrete structure next to a brown bird that is attached to a rope.,He is tearin down the statue with his bare hands.,2
A large group of men and woman all wearing red t-shirts participate in a race.,Some runners were not prepared for this grueling race.,1
An older man holds a hammer while watching something we ca n't see.,The man is watching a home improvement show.,1
"An elderly man with facial hair and glasses, standing in his living room holding a hutch cabinet with glass doors.",The man has bought a new cabinet.,1
A man with a red painted face and hair is smiling.,The person has a painted face.,0
A man wearing skis and a parachute in midair,A man is,2
A black man standing alone outside in a long overcoat.,A black woman standing alone outside in a long overcoat.,2
Three individuals examine a table full of bags with other tables and people are in the background.,The three individuals are judges.,1
Man in brown hat and black attire with orange shirt lying flat on pavement taking a picture.,A man standing against a brick building.,2
Two people sitting on a bench in front of a large window.,Two people jogging outside.,2
A blond boy wearing a blue life vest and camo shorts jumps off a diveboard into a blue lake.,The lake contains acid instead of water.,2
Women burning what looks like incense.,Women burn incense in prayer at another woman's funeral.,1
Two people sitting looking at a glass wall.,two people look at a brick wall,2
A person in a red coat plays an electric guitar.,A man playing piano,2
A man plays a band instrument outside of a free spirit store.,a man plays the drums outside of a store.,1
The park bench is mounted into the ground.,The park bench can not be moved,1
Two people are arranged around a horse and its rider.,Two men are arranged around a horse and its rider.,1
A man sits at the controls of a pipe organ while the man beside him rest one foot on the bench.,The seat is front of the organ is empty and everyone is wondering who will play it today.,2
A dog runs behind another at a park.,A circus train passes through the small town.,2
A young muslim girl sewing clothes in her home.,No one who is muslim is sewing at home today - there is a fuatwa against it.,2
"A small boy and girl, wearing winter clothes, are holding hands and walking down the street.",Adults walking hand in hand in the January cold.,2
Woman in red shift and long white socks kneeling on tennis court.,A woman is on the tennis court.,0
A group of friends is celebrating at a party.,A group of friends are celebrating a wedding anniversary.,1
Two boys dressed in purple shirts sit and smile while leaning against a picket fence.,Two people sitting.,0
A boy in blue and white on rollerskates holds hockey stick with a black ball at the end of it.,The boy is playing hockey with his team,1
A group of four friends meets outdoors.,A group of four friends meets outside for a drink.,1
A child swings on his stomach on a tire swing amidst trees.,A child is being pushed by his parents on a tire swing.,1
A woman in an orange shirt is taking part in physical activity on the beach.,The woman is near the water.,1
Three people are pushing rags along a wooden gymnasium floor with their hands like they are cleaning it.,People are cleaning the blood off the floor after last nights fight club.,1
The young Ohio baseball player contemplates his pitch.,A baseball player tries to decide which pitch to throw to the ringer at bat.,1
A woman with pulled up blond-hair and sunglasses on is standing near a black and white tent.,The black and white tent has been in her family for years.,1
A little boy in a red shirt holding a superman produce and staring at an older man.,There are two people.,0
2 police officers with helmets on are looking down at something and are riding on horseback.,Two cops are riding horses.,0
"For people in white, red, and blue cycling clothes cycle around a corner on a wooden track.",The people are in a race,1
A brunette woman in a blueish dress and a black bag is riding on a scooter on a city street.,The woman is walking down the sidewalk.,2
A woman wearing tight jeans and high heels is running across the road.,Woman is walking down sidewalk.,2
Three people wearing white hard hats ride on a forklift.,they are all working,1
A basketball player slam dunks the ball.,The player jumps through the air.,1
A darkly dressed woman wearing glasses leans on the beverage display in a grocery store.,A darkly dressed woman wearing glasses leans on the beverage display in a grocery store.,0
a man standing outside a store playing a musical instrument,A man standing outside a store is playing a musical instrument for money,1
Some people wander past a wall covered in graffiti.,They are walking past the wall,0
"A person is jumping up in the woods, they are wearing a red sweater and yellow pants, they are surrounded by trees and leaves.",There's a dressed human in the woods.,0
A lot of people mingling and having fun at a get-together.,A lone man stands by himself.,2
A boy wearing sunglasses on his forehead and a woman wearing sunglasses on her eyes are staring.,People are wearing sunglasses.,0
"A crowd of people, some standing by a river, some in the river with old buildings in the background.",A crowd of people are in a desert.,2
A man in a blue coat stands on the street near buses.,A bus driver looks for his bus,1
Old man and young child look at the fish.,Two people look at cats.,2
A happy young boy is holding a St. Patrick's Day balloon.,The boy is swimming,2
Three ladies sewing on a bench.,Three ladies are making a quilt.,1
The little white and brown dog has his mouth wide open while trying to catch something.,cat chased by 2 dogs,2
A couple converses at a table in a bar.,The couple are married.,1
A brown dog walks through snow.,The dog is sitting by the fire.,2
Outdoor restaurant and marketplace.,The restaurant is inside the mall.,2
A teenage boy with a red hat sits along side a pedestrian bridge while people walk by.,Nobody has a hat,2
A group of African people sitting under a tree in the hay.,The people are relaxing outside.,1
"A man, a gun, and a dog.",The dog is pointing a gun at the man.,2
A blond baby sitting in a baby chair outside eats food off of a light green food tray.,A little boy is eating dinner.,1
A girl on a beach with rainbow flags.,Flags line the beach where no one stands today.,2
A firefighter is outside in the city.,A firefighter inside the firestation.,2
A blond woman in a pink jacket is signing a petition.,A woman signs a petition at a cancer awareness rally.,1
A dog tries to catch a snowball in its mouth.,An animal is playing in the snow.,1
A group of more than a dozen bike riders competes in a close race.,A large group of cyclists are trying to win a trophy.,1
Several people are standing in a field wearing deployed parachutes.,The people are friends.,1
Shirtless guy staring off in the distance while three woman are walking past a crowd sitting outside a cafe.,People at or near an outside cafe.,0
A man and woman are on a gray and white rowboat.,Two people enjoy the streams of the water.,0
A woman with a large purse is walking by a gate.,A woman approaches someone's house.,1
A brown and a black dog are running.,Animals running.,0
A skateboarder in a black t-shirt and jeans skating threw the city.,A man is riding a bicycle.,2
A woman with brown hair paints a picture on an easel while sitting outside.,"While painting a picture outside, a crowd gathers around the painter.",1
A woman hitting a tennis ball.,A woman hit a ball.,0
Young male wearing a blue hat feeding multiple birds.,The boy feeds pigeons with bread crumbs.,1
An Indian woman working on weaving.,a woman is practicing weaving,1
A young boy in a green swing rides through the air near a barn.,A young boy riding his bike down the road.,2
"Two men; one in a blue shirt and ball cap, and the other in a white shirt playing frisbee on a field near an airport.",Two men play frisbee during their layover.,1
A man with a pitchfork stands near a bucket of branches across from an apartment complex.,He can see the apartment complex.,2
Two tan dogs run along a field at the edge of a woods.,Two dogs are trying to catch a rabbit.,1
Young people sit on the rocks beside their recreational vehicle.,The group of people is camping.,1
The black cup sitting on the black saucer resembles a top hat.,The cup was made by a person.,0
Two young ladies looking at multiple monitors displaying colorful artwork.,Two girls looking at artwork,0
A young girl and an older man are checking out at the food store.,The young girl is with her Dad.,1
Young women wearing a brown two piece swimsuit building a sand castle on a beach.,People are outside.,0
many people stand in a riot.,The people are sitting.,2
The subject of the photo is bicycling on the road apparently in competition.,The person in the photo is hot on the heals of the man in first,1
A young child wearing a yellow striped t-shirt and blue shorts is playing along side the lake and rocks.,A young child is wearing a yellow striped t-shirt.,0
A dark-skinned man drags a cart with a couple and a child inside in the outskirts of a town.,A man drags a cart with a child inside.,0
Skateboarder riding a rail at the park,There is a skateboarder riding a rail at the park.,0
A little boy in a red shirt is making a face into the camera while waiting at a go-cart track.,A boy was waiting impatiently to ride go-carts.,1
A racing catamaran is lifted onto one hull in the water.,A boat is docked ashore.,2
a man with green marker written on his arm,A man can be seen with a colored marker written on his arm.,0
A child stands alone holding a red balloon looking into a dark interior.,A boy is holding a red balloon.,1
"Bicyclist riding on a grass field, wearing a red and yellow uniform, shades, and a helmet.",Someone is bicycling in a marathon.,1
Two dogs are playing together in the grass.,The dogs are playing in the dog park.,1
"Two young women, one in a blue blouse, the other in a bikini top, are standing at the table with beverages.",The two young women were watching tv,2
two men are working on the treads of a large piece of equipment.,Two men are cleaning mud off of the large piece of equipment.,1
A man and woman sit by a pile of luggage.,The people are swimming in a pool.,2
Two young men in blue holding a loudspeaker with one talking.,The men have red uniforms on.,2
"Many young people sit at tables in a room, talking among themselves, while one particular young man in a purple jacket gestures with a piece of paper at a girl in a yellow shirt and black jacket.",Young men and women are attending a school competition.,1
The football player jumps into the air to catch a football.,The football player catches a ball.,0
Adjustments being performed on a bicycle under a tent.,Adjustments not being performed on a bicycle,2
A man and a woman pose together awaiting their picture to be taken by a kneeling photographer surrounded by graffiti.,A man and a woman pose together.,0
A small number of people sit around an outside sitting area.,A person walks alone down the secluded river bank.,2
A young boy in a sweatshirt plays with a balloon.,A young boy is playing.,0
A motorcycle rider spinning his tires in a circle.,The tires are making lots of smoke.,1
A baseball player throws a pitch while another waits in the outfield.,A ball is thrown at high speed by the pitcher while a runner watches attentively.,0
A dark-skinned man in a straw hat playing guitar and a man in sunglasses listening and smiling.,A man is playing guitar for another man as part of an audition.,1
"One man is sitting on top of a school bus, while another man, wearing a matching shirt, is standing inside.",Two friends sit on top of a bus.,1
"A green refrigerator, white refrigerator, and brown chair are in a room with an open window. ",The room is cold,1
"Older men are sitting in chairs, reading newspapers.",There are elderly men reading,0
A woman wearing a red dress is hanging on to a chain that is connected to a pair of handcuffs.,The woman is dressed up.,0
A woman is surprised to have her picture taken on this fall day outside Spaulding's women's store.,A woman is unhappy that her picture is being taken.,1
An amazingly blossomed red tree with several people sitting on a couch beneath its flowers.,The people are sitting on a couch,0
The man is putting on his shirt near an elevator.,The person is putting on his shirt near an elevator.,0
A young boy is standing on a gray tiled area.,The boy is standing with a friend.,1
A jockey on a black horse jumps over a hurdle.,the jockey is asleep,2
A young boy is jumping through water being sprayed up from the ground.,The boy is wearing a swimming suit while playing in the sprinklers.,1
Two girls and one in a white tank top writing on white paper or cloth.,A tall person writing.,1
"A man with white hair, a long trench coat and an umbrella walks past a parking meter.",the man is a ghost,1
An older gentleman with a slightly gray beard is sifting through a stack of pots in a water trough.,An older man is sifting through a stack of pots,0
A woman with black hair wearing a black and white polka-dot dress is singing into a microphone.,The woman is performing.,0
Two boys are running in a metal barrel.,Two boys are juggling knives.,2
A woman on a couch is cradling a cat.,A woman is holding a cat.,0
men are wrapping and packaging some cloth.,The men are sitting down and not working.,2
A Indian women displaying her cultural heritage with painted red fingers and an extravagant head piece.,An Indian lady is wearing a beautiful outfit.,1
Group of people sitting on some chairs on their rooftop with a goat.,Group of people raise goats on thier roof,1
A young man in a colorful costume sings into a microphone.,A person in clothing.,0
A man in an umbrella hat sits near a palm tree behind a group of shoppers.,A man is on the bus.,2
A man and women sits on a beach while the sun sets.,Both of them are dating each other.,1
Two men are having a conversation with a woman.,Three men are talking to a woman.,2
A gentleman wearing a hat and a blue button-up shirt is painting a city scene outside on a sunny day.,The gentleman is enjoying nice weather.,0
An elderly woman walks down the streets of a busy city.,A woman walks down a street full of cars,1
People enjoying a nice game of bowling.,People are cleaning the bowling alley,2
Young children are performing karate moves while their teachers look on.,Young kids get ready for a karate competition.,1
A cowboy is riding a wild horse but barely holding on at a rodeo.,The cowboy takes a long drag from his cigarette after finishing his barn chores.,2
People are walking on a city sidewalk.,People are on the sidewalk.,0
A woman wearing a white gown and a man wearing a gray suit embracing.,A dog is eating.,2
A little girl walking on the green grass in front of a big stone.,The girl is exercising.,1
A young girl looking at multiple coloring books on the cement floor.,The floor was scattered with the coloring books,0
"There are many people outside, including a group of girls all wearing polka dot skirts.",The girls are going to perform a dance for the people outside.,1
Two people backlit with light sky.,Two people are standing outside enjoying the nice weather.,1
Two young boys sit by a lake.,There are boys by a large lake.,1
A mountain biker riding his bike down a muddy path with mud splashing into the air and the biker is covered in mud.,A biker is playing volleyball.,2
A man wearing blue and red sports attire is pole vaulting.,man is pole vaulting.,0
A woman watching herself on a big screen while she is playing a boxing video game.,The woman is wacthing herself on the big screen.,1
Five people look out toward the ocean.,people looking out to the ocean,0
A caterer pushes a cart of food across a street.,He is making a delivery.,1
Three track runners are in the process of crossing the finish line during an Olympic type sporting event.,three women compete in water polo,2
A man with a blue mask reading a book.,The book is short,1
A young girl in a green shirt holding a soccer ball while standing in green grass.,A girl holds a soccer ball.,0
A man putting something in a boat.,Someone prepares to set sail.,1
A group of women walk down the street all carrying open umbrellas to protect them from the rain coming down from the sky.,A group of women are leaving a wedding and shielding themselves from the elements with umbrellas.,1
A girl wearing a multicolored backpack.,girl with bag,1
A man in red ski jacket graceful skis down a snowy slope.,A man in a red speedo is swimming.,2
Two men in police uniforms walk on a beach.,Two officers patrol the beach.,0
"A bearded man wearing glasses, a red shirt, and a hat is reading a map while sitting in a car.",A man is trying to find his friend's house.,1
A teenager doing tricks with his favorite bicycle.,a young man is sitting inside listening to music,2
Many people are on a crowded brick path walking downhill towards a distant smoking mountain.,The people are enjoying a relaxing day on the beach.,2
Three boys are racing against each other.,Two girls and a woman running for a cause.,2
The little girl is wearing a floating device in the water.,The child is swimming in a pool.,1
A guy doing a back flip over a blue mat in a park while others watch.,a doctor does surgery,2
A woman with red shoes is standing in the middle of the street.,f,1
"Four men in tight outfits, three in blue and one in black, adjust their clothing while standing on a paved surface.","Four men are in tight outfits, three in white and one in black",2
A white female wearing white shorts and yellow top throws a stick in a nature scene.,A woman is wearing shorts,0
A group of people paddle their blue inflatable raft down the rapids.,Rafters look for their friends in the river.,1
"Four men seated, each one with a laptop in their lap.",Men are using electronic devices,0
"A woman in a white dress with a tiara sings in a chorus, which has a row of men in sailor hats.",The chorus is singing.,0
A man and a woman show support for the campaign of Mike Huckabee as they hold up a sign.,A man and a woman are holding up a baby.,2
"People are walking on a busy sidewalk in front of a corner store called ""Lyppens and Schipper.""",The people are outside.,0
"A pretty girl wearing a white dress, a dimond necklace, and a crown, posing in front of the beach.",She is at the beach.,0
A little girl plays croquet next to a truck.,Nobody is holding a mallet.,2
"A middle-aged man, wearing shorts and a t-shirt, cooks hamburgers and hotdogs on a stainless steel outdoor barbecue grill.",The man is making dinner for family,1
Three guys are playing in a field.,people play in field,0
The girl wearing the pink and white shirt and shorts is jumping in the sand.,The girl is at the beach.,1
a man in a blue sweater is talking to a gray headed lady.,A man is sitting alone.,2
A man in a black shirt with a cigarette in front of others.,The man is wearing a red shirt.,2
A homeless man is walking down the sidewalk alone.,The man is poor.,1
An old woman entertains a small child by placing things on her head.,The old woman is making the child laugh.,1
a skateboarding ramp located in a room with multicolored graffti painted on the wall.,There is a skateboarding ramp in a room with black walls.,2
"Along side a red brick building, two men in summer clothes are on a scaffold doing a window or door repair.",Men working outside,0
Four older people are sitting outdoors at a restaurant.,Four people dine inside.,2
A young boy sits while eating.,A child grabs a bite to eat.,0
A skateboarder is airborne on a bridge.,The skateboarder missed their landing and crashed to the ground.,2
Three soccer players in red and blue striped shirts hugging on a soccer field.,three players hugging,0
A group of adults have their bikes ready to ride,People have non-motorized vehicles.,0
This farmer cuts into his harvested fruit with a machete to sell in the market.,A farmer uses a machete to cut fruit on a marble table.,1
Man gives an interview in a nearly empty theater.,A man stands on stage and sings to a full house.,2
"A woman in a navy blue shirt and jeans stands in front of a metal building, her hand resting on a fence, with her black and white dog lying in front of her.",A woman waits with her dog outside a warehouse.,1
two man are paddling a kayak along a river with green trees on either side.,The men are paddling a boat,2
People hanging out indoors as one walks toward the door.,A person approaches a door inside.,0
"PLayers in midair, on the net, in volleyball game trying to hit the volleyball to score.",People play volleyball on the beach.,1
One asian woman resting her head on another asian woman's lap with two parasols behind them.,The women are going for a walk.,2
"Two girls sitting on the sidewalk, one dressed in a pheasant costume, the other dressed in a tiger costume.",Some people are dressed as animals.,0
Two men and a woman are sitting at a table in front of microphones.,Three people sit at a table,0
A jockey on a horse jumping over two hurdles at once in the middle of a dirt field,Man practices his horseriding skills,0
Ten people enjoying a skate park.,Ten people are skating.,1
A choir performing on stage with photographer in the audience.,A choir attempting to become the best in country.,1
A woman and a man enjoying his drink on party night.,A man and woman are out having drinks.,0
Someone is slicing a tomato with a knife on a cutting board.,A lady slices vegetable.,1
A man climbs a steep rock wall using safety ropes.,A man climbs a rock with ropes.,0
A man in the woods with a green shirt on and an axe.,The man is a lumberjack.,1
A group of people gather for a picture while a woman stands on a post and takes the picture.,The family has asked a friendly woman to take a group picture of them from above.,1
"Two men are staring at each other, wearing country-specific uniforms.",Two men are looking in opposite directions.,2
A man pounds on an artwork perched on a cart.,An artist painting fine details onto the canvas.,2
A skateboarder skates near a high wall as he looks down at the bunch of lumber below.,A solider is doing training exercises.,2
A man is suspended in the air on cables while doing some work on a building.,A man is working in an office.,2
A short-haired woman is cutting a man's hair outside.,There are people outside.,0
Two men in blue shirts and six women in a ballet.,A play in progress.,2
A man dressed in a uniform and wearing glasses plays a brass instrument.,The man enjoys his hobby.,1
A man in a mauve blazer stands near the steering wheel of a ship.,There is a male human and a ship's steering wheel.,0
A young man pumps a bike tire with air.,The man is painting his bike frame.,2
A boy in green and white looks alert during a soccer game.,A child is at a soccer game.,0
"Two men, one sitting and lounging, the other standing and talking.",OTwo men were doing opposite things.,0
The plants or shrubs have not been trimmed and are overgrown.,There are large bushes and weeds.,1
a man with an orange backpack is standing on a cliffside path.,A man is hiking wearing a backpack.,0
Three men on stage with drumsticks wearing all black.,The three men with drumsticks are in all black on the stage.,0
A woman holding a baby is standing outside a Chinese building.,A mother and child wait for the rest of their party outside a restaurant.,1
A man is playing his guitar and wearing glasses.,A man is playing his guitar and wearing glasses hoping to hit it big.,1
"There a four men setting in chairs, with music stands in front of them, performing in a quartet, with a cello and three violins, and they are all connected to one speaker.",Four men are playing a concert for the guest of honor.,1
Jennifer Nettles and Kristin Bush from Sugarland performing a concert.,A gospel choir is practicing.,2
A woman is using various chemicals.,The woman is using chemicals to clean.,1
This men performs in front of people while dancing and having mask on face.,They are dancers.,1
A team stands on a field while fans sit in the audience and some men in suits get their pictures taken.,A team is having a celebration on the field.,1
Townspeople gathered for a festival.,A man knew about a festival but didn't go.,2
"On a nice day, a man with a crew cut is sitting with his legs crossed on a wrought iron chair.",A man relaxes and waits for his blind date to arrive.,1
A man in overalls and gloves is laying underneath a truck.,A man works on a truck from under it.,1
"A young woman midair gets ready for an intense tennis match, her partner walks behind her.",A woman and her partner prepare to play tennis.,0
Man receiving a haircut from two friends.,The haircut is ugly,1
Two small girls in white dresses standing in front of a large green plant.,Two small girls in white dresses are standing in front of the large green plant to take pictures.,1
Girl in pink striped mittens laughing in a crowd.,The girl is laughing at a joke.,1
The two small dogs run through the grass.,the dogs are swimming,2
a man in a white shirt leaning over a computer.,A woman sits at her computer desk,2
A man in a yellow vest is standing on the wall above the scaffold.,A person is standing,0
A woman in a white shirt prepares a large meal of hamburgers.,The woman is going to grill the hamburgers out on the grill.,1
A woman sits in a cage playing with two rabbits.,A woman is playing with two guinea pigs.,2
The man in the black hat holds the brown hair woman's necklace.,the man has no clothing of any kind,2
A lady with a black hat holds a little girl with a crown of flowers.,A man has a little girl sitting on his shoulders.,2
Congrats to the baseball player who is being hugged as other teammates approach from the right and from the left.,Teammates are with other teammates.,0
"Seven people are jumping in the air, along the shore.",People are swimming in the ocean,2
two hockey player teams playing a game on the ice,Two basketball teams are playing outside.,2
"Two women standing in close proximity of each other, one of which is staring into the lens of the camera.","Two people are standing near each other, one of whom is looking at the camera.",0
"A man and woman standing against a marble building, holding a conversation at night.",A couple is talking about their future,1
"One man, in a blue jacket, is sitting in the rain under a green umbrella.",He is sitting on a bench.,1
A man sleeps on a bench behind a fountain.,The man is wide awake,2
Girls in white shirts and blue skirts shoot arrows from bows.,A group of females are shooting at targets.,1
A heavy woman wearing a helmet and striped socks skates around a rink.,The woman is a professional skater.,1
Several people at a ski area with the pine trees and a large snowy mountain in the background.,There are people outside.,0
A black lady in traditional dress with a basket balanced on her head walking down a beach crowded with sunbathers.,woman takes sunbath along the beach,2
A man with tools in both hands is focused on his work.,A man is concentrating.,0
A man holding a little girl on his shoulders.,The man has his daughter on his shoulders.,1
Two people are communicating while sitting at a bar.,Two people are communicating while flying,2
A person is riding a white horse while jumping obstacles.,A person riding horse while jumping.,0
A tattooed woman puts on a motorcycle helmet.,A woman is about to drive to her job,1
"A man in a white shirt, standing with his hands over his head in a seated crowd.",The man is on his feet.,0
A woman with a tennis racket about to swing at a ball.,The woman is playing basketball,2
A man plays a guitar while sitting on bleachers in front of a lake.,The man is practicing for an upcoming performance.,1
Two brown dogs are creating large splashes as they run in a river.,The puppies are happy.,1
"While doing tricks, the skateboarder is at the top of the half pipe.","The skateboarder is world-famous, and is competing at a skateboarding competition in California.",1
A man in a small bathing suit talks to another man on the beach in front of a beach patrol stand.,A girl plays in the snow.,2
People at a costume party.,People are naked,2
A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes.,The man is playing pool.,2
A brown dog is running across a low cut field of grass with another dog and onlookers nearby.,The dog is running after a stick.,1
A festival involving Chinese or Japanese people in the street lighting a large torch.,Tall humans at a festival.,1
Man in jeans and jacket walks between two large white cones.,The man is riding a bike.,2
A woman in a blue shirt looks unhappy.,A woman smiling and waving.,2
Five individuals holding instruments and practicing music together next to a building.,The five people are part of the same band.,0
A woman stands on a concrete block taking a picture of a group of people on a sidewalk beside the road.,There are people outside.,0
A troupe of dancers is in the middle of a jump on a stage.,People dancing.,0
An adolescent wearing a blue striped shirt is skateboarding on a rock inside of a large building.,A man mountainclimbs.,2
A person pushing luggage and someone on the cellphone in a city.,there is a person pushing a luggage cart and a person in a phone booth,1
A man mid-jump on slalom skis.,The man is riding a horse down a ski slope.,2
An Asian man in the military is doing push-ups for a superior.,The Asian man is in a plane.,2
A dog swims through the water.,A dog pants,2
Man walking while wearing snowshoes with a mountain in the background.,It has snowed recently.,0
A woman wearing a blue dress and black tights and black shoes in front of train,A woman is waiting for the train to take her to work.,1
Two women smoking on the steps of a white building.,Two women taking a smoke break on the steps of a white building they work in.,1
boy and his grandmother laugh together.,A boy and his grandmother are telling funny jokes to eachother.,1
A man doing a trick on a wakeboard,A man outside.,0
"Young adults wearing red, yellow, and black shirts in a straight line perform a sketch.",There are young adults in a line,0
A young boy hangs something above his playhouse.,a boy has a playhouse,0
A large Asian crowd walking up a flight of stairs.,A crowd is walking up stairs.,0
A snowboarder is in midair above a snow-covered ridge beneath a blue sky.,the snowboarder is practicing his tricks,1
"There are three men on set of Sports Center, One man is in a suit with a black jacket top, one is in a white dress shirt with dress pants, and one is in a brown suit.",Some well dressed men are on Sports Center.,0
Two small children in poor conditions trying to survive the elements.,The children are siblings.,1
Two dogs standing in the field.,the dogs are sleeping on the couch,2
"Two men, one dressed in black with a white hat and the other dressed in gray sweep a set of steps.",Two men are working to clean their front porch.,1
Blond boy eating a sandwich on a white chair.,A boy is eating a sandwich.,0
A little boy does a cartwheel on the beach.,A little boy is on a farm,2
A man is smoothing freshly poured cement over a patio.,A man smoothing the patio,1
A man wearing sunglasses playing the drums.,A man is playing a musical instrument.,0
A man repairing a bicycle tire while his customer asks him questions.,A woman repairs a bike chain,2
People are standing on a crowded street with suitcases.,people with suitcases,0
A dog leaping over a chain.,A dog sits calmly.,2
A girl in a yellow tank top jumping a blue hurdle with people in the background.,3 people are watching the girl jump the blue hurdle,1
"A man who appears to be the band leader is reading from a large white card which he is holding in his left hand, while facing persons holding tubas.",a man is reading the name of the next song to the band.,1
Chinese people walking down a street.,People are walking.,0
A dog on rocky terrain,There is a group of cats running through a forest.,2
"Young boy wearing waders standing on a dock fishing, other people are in the background.",A boy fishes on dock with people in the distance.,0
a couple people running through a large sidewalk fountain,Eight people are having dinner.,2
A man in a baby blue work-shirt talks on the phone on the busy sidewalk.,A man on the phone indoors.,2
Children climbing and standing on a wooden bridge over water.,the child is black,1
A photographer is standing on a mountain with gear in hand.,The photographer forgot his gear.,2
two men in white clothing stand on the street corner.,These people are relaxing in their favorite armchairs.,2
Two men are riding down the street on a bicycle next to a gray building.,Two men are sitting in a cafe drinking coffee.,2
Three women with blond-hair are walking over a bridge with green rails.,There are three blonde women,0
"A child standing on a chair to shove his face into a fire by a candle, his negligent father watches on in bemusement.",A child not standing on a chair,2
Person snowboarding on hill near snow covered stairs with buildings nearby.,A person is skiing next to a building.,2
"a brown and white dog jumping over a red, yellow and white pole",a dog jumps over a pole,0
"An athletic, young woman clad in a green leotard and bright green Nike shoes is in a footrace as the 43rd entrant.",A young woman is wearing a uniform.,0
Motorcycle racers take a sharp turn.,people riding motorcycles,1
The children are running through the grass playing soccer.,Children are playing in the soccer championship game.,1
A young man holds up a piece of wood and a chainsaw as presses a cigarette between his lips.,A man is cutting firewood.,1
There are three men in black and two of them are walking while holding trays of food.,people carrying food on trays,1
A white blond woman is site seeing on a sunny day.,A woman lies down in a darkened room.,2
A young man in a black t-shirt plays Croquet with an inflatable mallet.,A man plays croquet.,0
Three women wearing blue walk along a sidewalk while laughing and smiling.,Females are outside.,0
A white dog with black patches runs jumps through a spray from a hose into a blue plastic wading pool.,A dog plays with the hose in a wading pool.,0
"A man in an aqua colored shirt, a sailor, a young boy wearing a red shirt and some other people tug on ropes while standing on a ship's deck.",The ships' crew are preparing the boat to dock while a crowd waits.,1
A man in a white tank shirt holds a laptop while sitting next to a white column with a statue on top of it.,A man is sitting on his laptop.,2
A man is sitting on a street pole directly behind a fire hydrant.,There is a man sitting outdoors,0
"In the middle of a soccer game, the team wearing stripes has the ball as the turquoise-wearing team is attempting to steal it away.",A soccer game is being played on a brilliantly sunny Sunday afternoon.,1
An Asian lady is cooking various dishes.,A woman is cooking inside of a restaurant kitchen,1
a little boy wearing a white jersey kicking a soccer ball,A boy is kicking a soccer ball in the park.,1
"The black dog is catching a ball, while the white one watches.",The two dogs are German Shepherds.,1
A man dressed in tan sweater and pants looks down at a wood cross that is bordered by a barbed wire fence.,A man stares at a cross that is by a barbed wire fence.,0
