premise,hypothesis,label
The woman is smiling at the mirror while in a bathroom.,A woman is smiling in the bathroom.,0
Two men are examining a bike tire outside while a woman watches from the porch.,People are examining a bike while someone else watches.,0
A woman looking at pictures in a photo album.,A woman is reading an accounting text book.,2
Two German shepherds playing with a stick.,The dogs are training.,1
"A woman looking in a telescope to look at something really small, most likely some sort of science lab.",A woman is examining samples in a science lab.,0
a child sitting with a stuffed toy on a couch,A child is in the living room.,1
A cowboy on the back of a galloping horse.,A cowboy is on the horse while people are watching.,1
"Clowns walking down the street, seemingly in a parade, with a Porta Potty in the background.",Nobody is walking,2
Children riding bikes and playing on a neighborhood street.,The children are playing outside.,0
A man in a green shirt and his friends bowl on the grassy area outside of a restaurant.,A man and his friends are watching TV inside.,2
A young girl wearing bunny ears takes the wheel on a video racing game.,A young female cosplaying with bunny ears on plays a game.,0
The skier in blue is turning and creating a dust cloud of snow behind him.,A skier stopping at the bottom of the ski slope.,1
A man wearing a black and white hat as well as a black and white shirt is singing into a microphone in front of band mates.,The man is the singer of the band.,0
A man with red shades on is holding a blowtorch while touching some type of sculpture with two onlookers.,A man torches a stack of textbooks and notes at the end of a particularly frustrating term,2
"A man wearing a cowboy hat, riding on a bronco while another man in a white shirt comes to his aid.",A tall human riding,1
"A smiling, happy-appearing blond woman with backpack stops to smile at the camera.",The man sets his backpack on the ground to take a photo.,2
"Bicycle racers, the middle one in white with yellow sunglasses and red shoes, ride along a street, while onlookers watch from behind a barrier.",racers racing in a race,1
A person in a white shirt with blue stripes is holding a large bucket shaped object on the head.,A person has a bucket shaped object on their head.,0
Children are gathered at a statue inside a museum.,children are waiting for their teachers,1
"a group of five guys, two on skateboards looking at a statue.",Two of the five guys are on skateboards looking at a statue while looking for fairies.,1
A older man skiing down a mountain on a clear day,A man is skiing down a snowy mountain.,1
The Houston Texans quarterback holds a football against the Minnesota Vikings while his running back moves towards the ball.,The quarterback is smiling.,1
An older woman in a black coat and a white knit beret converses with an older man in a tan scooter hat and a green coat on the sidewalk near storefronts.,The older woman is wearing no coat.,2
Asian woman harvesting wheat.,There is a woman with wheat.,0
"Six Asian children, most in uniforms, laughing.",Six children are laughing at school,0
Shirtless construction worker builds interior of home.,Muscular worker breaking home down with sledgehammer,2
A man in a yellow shirt smiling sitting in a red bike in the backseat.,A man takes a break a gets a ride from a bike taxi.,1
A family sits in the grass in a park in India.,There are people outdoors.,0
a man frowns with his camera.,The man has a camera.,0
"There are 4 people in costume, including a reindeer and a pink table.",The people are sleeping,2
A black dog looks up at a ball in the air and prepares to catch it.,The dog is napping on his owners bed.,2
A man in a checked green shirt is sitting down and looking at his hands.,A man looks at his feet.,2
Four people watch the sunset.,Four people sit together and watch the sun set.,1
A man wearing black is looking over a cliff.,The man is wearing a purple jump suit.,2
"Two men cleaning snow from a roof, one's in a lifter, while the other is actually on the roof.",The men are cold,1
A man with a white t-shirt and blue jeans does a handstand on a green lawn.,A person is performing a gymnastic move outside.,0
A blond woman leaning on her car door talking.,A woman tried to talk a cop out of giving her a ticket.,1
Two children read in bed.,A couple of children are reading.,0
A boy wearing green shorts is about to serve a volleyball.,A boy is playing volleyball and is serving,0
A person in a harness is hanging above water making a spray with their feet.,A person is participating in a water-related activity.,0
"A woman in a white sundress and a straw hat and using crutches, stands outside by a poster on a building wall and looks through her purse.","A woman with crutches stands outside the building, looking for her cellphone in her purse.",1
A blond girl with a leather jacket on smiles at her friend while they stand in the rain at a concert.,"It is a clear, sunny day.",2
"A person having a conversation with another, as a computer task awaits his return.","A person having a conversation with another, as a puppy awaits his return.",2
A man and a dog tussle over a toy in a grassy yard.,the man is trying to get the toy away,1
A beautiful sunset is seen behind the flying birds.,A beautiful sunset is seen behind the airplane.,2
A group of people singing and playing musical instruments on stage.,They are in a band.,0
A male kid skateboarding down a sidewalk wearing a white striped shirt and black pants.,A boy skating outside.,0
A man in military fatigues is assisting another man who is lying on the ground in front of a row of parked cars.,A man in military fatigues helps a my who is lying down.,0
Construction workers are waiting to use the elevator.,The workers are cutting down a tree.,2
Three men in yellow vests digging a hole in the dirt.,The men are holding shovels.,1
A man and a woman riding a bike down the street.,A man and women are riding a scooter.,2
The baseball player wearing blue is throwing the ball.,The pitcher throws the ball towards the batter.,1
A woman moves to hit a ball during a game of tennis.,The ball is made of concrete.,2
A black man stares angrily on the street.,A cow eat grass in a pasture.,2
The man is talking into the microphone while playing the guitar.,The man holding the guitar shouts into a megaphone.,2
The man in the Snoopy jacket is drawing a picture of trees.,a man draws pictures,0
A woman in a bathing suit walks a dog on the beach.,A dog and its owner stroll on the beach.,0
A lady in a blue dress singing.,The woman is old.,1
A musician sitting cross legged in front of a microphone.,a woman rides a horse,2
Many buildings and stores are shown with cars and people on the sidewalk and street.,People are walking around at the sidewalk sales that all the stores are having.,1
An asian man giving a speech.,A man gives a speech.,0
A man sitting and has taken off his shoes.,A woman performs yoga,2
Woman in a black outfit standing outside at a train station.,The woman is wearing pink,2
"A young person, wears red sandals, black pants and a blue shirt, his head and face covered with a checked scarf and carrying a rocket launcher.",Someone is planning to attack using a rocket launcher.,1
The young boy in green is throwing something up into the air.,The boy is wearing green shorts.,1
Man and woman cyclists ride pass signs on rural road.,A man and a woman are drinking wine at the cafe.,2
Three children are practicing karate.,The children are having a boxing match.,2
A lady in a large brown hat with a black skirt is selling goods at the marketplace.,A woman in a hat is at  the marketplace.,0
A black lady is sitting on a chair with a cart full of bags setting beside her and a brick wall with graffiti and a chain link fence behind her.,The woman in the chair is black.,0
An older woman sits next to a small girl who is wearing a striped dress.,An old lady sits next to a girl in a striped dress.,0
Four people playing instruments on a public place.,Four womena playing instruments on a public place.,1
"A young male wearing a helmet, gloves, and knee pads is skateboarding in the street.",A fat kid wearing pads while skateboarding,1
A street performer painted in gold stands by a gold-covered old time camera.,A street performer covertly takes pictures.,1
A lady with red-hair and a white jacket pauses to look at her shopping list in the milk section of a grocery store.,a man with a beard picks vegetables,2
"A man sitting at a table looking at a woman, who has a hat on, which has a handkerchief connected so it may wrap under her chin, and the woman is working a food stand made of wood.",Some people are sitting.,0
Several people congregate at an umbrella topped table just outside of a shop named DAHLAK.,People are grouped together by a table outside.,0
Two friends ride a bicycle.,People in a bike event.,1
A man in a blue jacket rubs his forehead.,The man is wearing a red jacket.,2
One child is pointing to the sky and another is trying to block the sun to look,The children are playing in the indoor playground.,2
"A man is standing beside a large, colorful birdcage containing birds.",A child is standing besides a large cage containing tigers.,2
A well dressed man in front of a microphone is attacked by a dragon pinata and a lady.,The man is wearing a suit.,1
A man and woman holding hands are jumping into the water.,A man and woman jump into the water together,0
A group of joggers are running downhill on a street.,The joggers are on the road.,0
White dove glides above water.,There are birds gliding,0
Two young boys wrestle in the sand while a man watches.,The kids wrestle in the sand while the father watches.,0
A boy is assembling some circuit based project.,A boy is doing circuit based project to get good marks.,1
"A young man, with billowy red-hair, lines up his shot of the 9 ball on a pool table.",Snooker champion scores a 147,2
A band is performing an outdoor concert with guitars and drum set.,The band is performing outdoors.,0
Children watch a man doing dance moves.,A man dances for a performance for children.,0
A woman crouches down next to her terrier dog to smile at a little girl sitting on the sidewalk.,The woman and her dog are sitting on the couch.,2
Four men wearing plaid sit on chairs.,Four women throws chairs at eachother,2
A man in an orange vest trying to pull a vehicle which is attached to another vehicle out of a rocky area.,a man ina vest helps a vehicle,0
Four cheerleaders in a squad walk along a football field.,They are near a football field.,0
A man wearing a uniform and red glasses holds a rifle.,A man is in the military.,1
A blond-haired girl plays on a blown-up bouncy toy.,A boy pops a balloon.,2
Two young men playing soccer on a sunny day are jumping for the soccer ball.,Two men are playing soccer outside.,1
A young boy in Christmas-themed pajamas unwraps a gift and plays with other gifts while family watches him.,The child is celebrating the holidays with family.,1
Three people playing in the snow.,People are on the sunny beach.,2
"At Halloween, this little spiderman waits to get some candy.",A young boy waits for his neighbor to give him some candy.,1
A woman wearing jewelry holds a piece of paper and looks down.,There is a very tan woman holding a piece of paper and looking down.,1
Some guy stuffing his face at a get together.,He's eating 50 chicken wings.,1
The male kayaker is moving through the rough water.,The man sits on the shore watching others row their kayaks,2
"A smiling young woman in a red t-shirt, sitting on a stool playing a guitar in a room with guitars on the wall.",She is an expert guitar player.,1
Chinese man preparing food.,A Chinese man is preparing food for customers at a restaurant.,1
A man wearing a white shirt and gloves is holding a checkered box.,the man delivered a parcel,1
A little blond boy wearing a green winter jacket at the beach excitingly looking at the water.,The little boy is at the beach.,0
Little kids are jumping around in the sprinklers.,A kid is sprinkling the flowers with water.,2
A man rollerblading on a ramp,The man is sitting down.,2
A woman in blue sweeping the sidewalk.,The woman is wearing red.,2
Three dogs of various sizes.,Three dogs of different breeds are together.,1
A motorcycle is stopped to wait for a man crossing the street with a guitar.,The man is a musician.,1
Three photographers use tripods to snap photos in a tiled hallway.,Three photographers take pictures.,0
A person with braided hair is sitting in a purple chair.,A person is sitting in a chair about to get a haircut.,1
A woman in a striped denim jacket is walking by a fence.,The woman is on a couch.,2
Man with a blue shirt on sitting in a computer room with at least 13 monitors in front of him with several keyboards and phones with one microphone directly in front of his face.,A man with a light blue shirt is sitting.,1
Two men appear to be doing a demonstration.,The men are showing something.,0
Two men fighting in a MMA match.,the men are talking,0
"Young children at a martial arts competition, at a school gymnasium.",Children are in a gym.,0
A closeup of a man shooting a handgun into the woods.,A man shoots a gun in the woods,0
"Woman, sitting on a countertop, applying eyeliner.",The woman is knitting a sweater.,2
A woman watching a child look through a large blue telescope in the park.,A child is using a telescope while a woman watches.,0
A group of men play a improvised board game on a shady street.,The men are playing for money.,1
A man distracted by a pretty woman.,The woman is carrying a purse.,1
A man leaning against a wall on a street.,A sad man leaning against a wall on a street.,1
A girl sits in bed reading a book.,A girl plays on her phone while sitting in the living room.,2
Man with his hat on backwards wearing an orange suit with his hand on a spindle with large rope.,A man is wearing a tuxedo.,2
Two men are riding a motorcycle.,The motorcycle is ridden by one person.,2
Two men and one woman are playing frisbee.,People playing football.,2
"Two men dressed in white shirts button down shirts, white hats, with blue scarves tied around their necks",Two people dressed in white with blue scarves,0
"Two men, one wearing a blue shirt and the other wearing a red and blue striped shirt, are flattening out pita bread and laying it in the sun to bake.",Two men are laying out the pizza dough to bake.,2
A woman and her dog on a leash.,The woman has a cat on a leash.,2
"A woman in a black shirt sitting behind a booth with a sign that reads ""Programmes & Ice Cream.""",A woman wears a black shirt.,0
The lady in the blue jacket is sky driving into the south pole.,The lady is in a cold climate,0
2 Male Camp Counselors relax during afternoon free time for their youth as the director speaks of the upcoming evening activities,The men are relaxing on their lunch break.,1
"A woman purchases a spool of yarn from another woman, who is selling on the side of the street.",A woman buys something outside.,0
A woman with a long brown coat stands under a black umbrella in a street full of people with a smirk on her face.,A woman in a brown trench coat stands under a large black umbrella in time square with a smirk on her face.,1
A musician holding a guitar soulfully sings with his eyes closed.,A musician sings for a crowd.,1
A white dog is standing by a river shaking himself dry.,A cat is shaking himself dry.,2
A man is carving a large eagle out of wood in a public setting.,The man is carving a piece of art outside.,0
Getting familiar with his trade as a filipino child arms maker.,He is operating in a trade.,0
Two canooers paddle through some rapids.,People are professional water rapid riders.,1
A group of young teenagers are jumping at night making funny poses for the camera.,Young teens break curfew and have a night on the town,1
A person with a large bag walking on the sidewalk next to a large brick wall.,A woman is carry her books to school.,1
"Two men, one with goggles, are swimming next to each other.",Two friends swim together.,1
Two sprinters are jumping over an obstacle.,Two people sleep on a bench.,2
Members of the military being served at a cafeteria.,There are people in the cafeteria.,0
An Asian woman is walking through a crowd with two cups of coffee in each hand.,There is a woman with coffee in the crowd.,0
"Two babies, male and female.",Two adult men.,2
Pedestrians walk in front of an industrial complex.,Dogs are being walked in front of a building.,2
A home football game for the UCLA Bruins takes place.,A football stadium is empty.,2
A man in shorts and a woman in a red long dress are walking down a road with a small white car in the background.,A man in a suit and a woman in jeans are eating dinner in a restaurant.,2
A young girl wearing a dress and heels is holding flowers on a sidewalk.,A girl is dressed up.,0
"A little girl, with long blond-hair and wearing a dress, looking at her refection in a puddle.",A young girl watches her reflection in the water.,0
A woman scantily dressed in handsome homemade-looking clothing sits on a wooden step and reads Brazilian author Coelho.,A women is reading a book on a step.,0
Two black and white dogs and one has something blue in its mouth.,Two birds are singing.,2
Men in safety vests standing in front of a poster of a mannequin in the same safety vest.,The men are demonstrating safety gear compliance.,1
A man with camouflage shorts adjusting a mosquito net.,the man is camping in africa,1
The child has his head in the frame of the painting.,A woman admires a photograph.,2
A large crowd of people are gathered in the street.,A crowd of people inside playing donkey kong.,2
four people are in silhouette whilst watching the sunset.,people at dusk,0
A Japanese shop with people sitting inside it.,The store is busy with customers.,1
"12 family photos on a shelf with a yellow, red, green, and purple flower wreath in front of it.",The family has 12 photos,0
A man and woman both carrying umbrellas are walking past a group of parked bicycles.,A single man is sitting at his computer watching porn.,2
The athlete perfomed a trick as the large crown watched.,An athlete was performing for many people.,0
"Greyhound are racing on a track, and number eight is making a run for first",They are on a racetrack.,1
"A group of men and women are hiking through a dried up river bed littered with large rocks, which runs between two rocky walls in a dense green forest.",People are laying on a beach.,2
Pink shirted woman sleeping in a car with blue and white blanket on her.,The car was parked in a local park because the woman was homeless.,1
A woman walks with another person at night.,The woman is walking with her daughter.,1
Two women and a man looking at the wave in the ocean.,The women are old,1
A man with a backpack on is waited on at a deli counter by a clerk with a black hat.,The man is at a zoo.,2
A man in a plaid jacket is cutting fabric with several colorful strands of fabric behind him.,A fashion designer is cutting fabric.,1
A person helping to set up chairs for a big event.,A person is putting chairs out.,0
A waitress carries a tray at a high end restaurant.,The waitress carried the tray back to the angry customers.,1
A man examines eyepieces with another man and an amused child.,Three elderly women are examining eyepieces.,2
"Two men on skateboards, and one has an orange helmet.",men are playing wii bowling,2
A man and woman work together to inflate a hot air balloon.,The man and woman are making dinner,2
The child is covered with colorful balls.,A person is covered by balls.,0
A group of young people are walking through a park under blossoming trees.,A group of people are talking while walking,1
"Emergency medical crews, firefighters, and police officers at the scene of a car accident.",This terrible car accident requires entire teams of emergency workers,0
"People in bright green shirts, construction hats and blue jeans are standing near a tree that is laying on the ground.",Construction workers pose next to a tree that has fallen,1
Grandmother holding on to her adorable granddaughter in a flower print brown footy.,The granddaughter and grandma are sitting across from each other at Mcdonalds.,2
Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood.,Two men and two children are walking to the ice cream shop.,1
Racing greyhounds leave the starting gate.,There are dogs running.,0
A man dressed in white pants holds a microphone in street scene.,the man is not holding anything,2
Trash man getting on orange trash truck.,Garbage man returns to police car,2
A woman is standing at a bus stop on a fairly quiet street.,"A woman is on a quiet street, standing at a bus stop.",0
A man wearing a helmet is welding something.,A welder is trying to reattach a piece of broken metal.,1
A man kayaks in wavy water.,A man is on vacation kayaking.,1
Five people waited in line while the man in the blue jacket paid the cashier.,The cashier took the money.,0
Two women walking by an orange VW bug.,The car is nearby.,0
People are seated among some pillars while another person walks by.,people taking a break,1
A old man with a blue head piece on is hammering near a rock.,The old man is a construction worker.,1
An ordinary person that lives in Vietnam.,The ordinary person is a female.,1
A man painting as another man watches by the river.,A person is making art.,0
A group of people pass by a subway station.,the group of people are at the mall.,2
A woman is rollerblading in public,A woman in a black dress is rollerblading.,1
A little boy playing baseball goes for the ball on the ground.,The little boy sat quietly thinking about playing baseball.,2
"There is a bride and groom with two children, a woman and a man carrying a flag, standing on a stony place.",A camera man is trying to get a perfect wedding picture.,1
Two football players chase after a the ball.,Two players play ball.,0
Two men wearing pink shirts and headscarves in an industrial kitchen prepare noodles on a griddle.,Two men are cooking noodles on a griddle.,0
"A group of people, old and young, men and women, sit around a table doing arts and crafts.",Young children playing with marbles,2
A man walking in front of a colorful mural on a brick road.,A man is walking in front of a mural of Bill Clinton.,1
A heated cart of food is being pulled on a city street by a woman dressed in a pink and white blouse and pink sandals.,The woman is selling food from a cart.,1
Two people in black vests are standing in front of children in white vests with an American flag between them.,There is a demonstration going on.,1
Two adults are working on a piece of wood,one adults is drinking beer,2
People are standing while waiting to the exit area.,The people are sitting outside,2
"A woman holding a pink balloon and wearing a fuzzy pink tiara, and a man with his head tilted slightly forward and smiling with his mouth wide open are standing next to one another.",two people are at a funeral,2
The lone man in red sits outside of his blue door and windowed house contemplating about his thought.,The person is wading in the lake.,2
Two players in red white and blue football uniforms squat down on the field.,A couple friends are drinking a beer after playing a game of football.,2
"Two girls are playing soccer and one is wearing a white shirt with green shorts showing the number 4, while the other girl is wearing a red and white shirt.",A soccer match is being held.,0
A man is outdoors washing his car with soap and water.,A man washing his car,0
A man wearing sunglasses and using a microphone.,A man is performing a comedy routine on stage.,1
A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street.,A woman is swimming in a pool.,2
A lady walking in a deserted area.,A lady walking in a desert,0
A man with spiked hair painted red with green tips and wearing a spiked collar and a fishnet undershirt standing and smiling.,A man is a skateboarder.,1
A brown dog in a pink shirt chews something white while a brown dog in yellow watches.,two dogs sleeping,2
A woman in a jacket is standing next to a fence playing horse shoes.,A woman is outside.,0
"A man holds a banner with ""Age Demands Action"" while a large group holds banners behind him a person in a backpack takes a photo.",A man is outside.,0
This man is making food outdoors.,Someone is cooking.,0
"A man is sleeping on the sidewalk, on top of a box.",The box is brown.,1
A boy about to hit a ball with a thick stick.,A boy is holding a stick.,0
Two men wearing orange hard hats in the woods looking at a cut down tree.,Two men are wearing orange hard hats.,0
A blond girl wearing Groucho Marx glasses.,The girl is about to perform in a talent show.,1
A child gets dental care from a dentist as the another health professional holds his hand.,A child is getting dental work done,0
A person in a newsboy getup pours a drink.,The person pours a drink into a glass.,0
Five men wearing black shorts are leaving the starting blocks in a track competition with few spectators.,Five men are racing.,0
A man skiing in the mountains,An avalanche buries a skier.,2
A girl on a bike stops to look back.,A girl on her bike stops to look back.,1
An eclectic crowd gathers in front of two buildings in broad daylight surrounded by signs of the Boston Red Sox and companies associated with Boston., An eclectic crowd cheers for Boston Red Sox.,1
A man standing next an older silver van.,a man sleeps on a bus,2
Bike are being displayed in the street.,Cars are being displayed in the street.,2
A man standing on his cellphone next to a picture of a woman.,A picture of a woman is beside a man.,0
A large dog with a black collar walking towards the water on a beach with the sun in the background.,The dog is in the desert,2
A man with a white shirt and glasses is sitting on the ground.,A man in a shirt and tie sits on the ground.,1
A man in plaid shorts standing in the rain on green grass holding an umbrella.,"There is one man in this picture, and he is outside.",0
Beautiful snowy landscape with people treading through the snow.,the people are scientists,1
Two men snuggled together sleeping on a bench in a public park.,Two men slept together,0
People are gathered at a table to enjoy drinks.,People are enjoying a party.,1
A man dragging a young boy by the hand at the beach.,A man is forcing his son to walk down the beach.,0
Two males in black jackets have a conversation while walking down the street.,The men are talking togethor outside.,0
A woman in black high heels crosses a street.,a woman crosses the street,0
A little boy is posing on a stone wall outside.,The boy is rolling down the hill,2
Some children are listening to some adults in a room.,Adults scold misbehaving children.,1
A beagle walks down a grassy hill.,A dog is biting the mailman on the front porch.,2
A woman kneeling in the snow attaching a harness on a small tan dog.,The woman is attaching the leash to the harness.,1
An older woman in a black dress is standing outside a doorway holding a loaf of bread,An older woman in a black dress is standing outside a doorway holding a loaf of bread waiting for someone.,1
A woman applying lipstick.,The woman in the bathroom is putting on blue lipstick.,1
A brunette woman wearing a black leather jacket is holding a purple handbag on a sidewalk.,a woman is standing outside,0
A street band consisting of four men perform on the sidewalk.,A band performs in front of colliseum audience.,2
"A group of people eats in yellow chairs at a restaurant, with many fans and lights on the ceiling.",A couple eats an intimate dinner at home.,2
A child is using a shovel to dig up sand at the beach.,A child uses a shovel inside a room.,2
A man is standing in a room showing a diagram.,A man is showing a diagram in a business presentation.,1
"A furry, tan dog is outside on a patio.",The dog is eating from his dish in the kitchen.,2
A dog and sand blowing in the wind,A dog is sitting on a couch.,2
A young woman wearing red sneakers and carrying multiple bags stops on a sidewalk to look at photos of dresses.,The woman is outdoors.,0
Two females dressed in pink are sitting on swings that are part of a suspended wooden square contraption.,The two females are on swings.,0
A woman is looking at something under a microscope in a lab.,A woman is dissecting a cadaver.,2
Slightly inebriated woman in a maroon apron excitedly stirs a large pot.,A woman is sleeping.,2
A construction guy is on the phone standing on green grass with a long black hose on the ground.,the contruction worker directed traffic on the interstate,2
Some of the trees on the side of the track are beginning to change color with the season.,Some of the living woods on the outside of the ring are starting to vary in appearance.,0
Smiling oriental woman pointing a lamp at blurry head which is located on the right quarter side of the picture.,A woman is smiling at a lamp her husband gifted her.,1
Older gentleman and woman sitting around debating topics.,the two men are chatting,2
Person in pointed hat and face covered with green scarf poling boatload of stuff through water,Person is in boat,-1
A group of people are swimming in a river or small body of water.,A group are sleeping in a river.,2
An older man and a young girl stare at a large fish in a pool.,The man and the girl are staring at a unicorn in its natural habitat.,2
A skier jumping in the air with some trees in the background.,The skier is jumping for joy.,1
Two men and a woman are sitting at a table in front of microphones.,Two women and a boy are sitting at a table,2
A girl in a blue leotard does a somersault on a blue gymnastics mat.,There is a girl in a blue leotard in her gymnastics class.,1
women standing in doorway at night next to train tracks,A woman stands on a sunny train platform.,2
Two young women talking at a table in a cafe.,a couple of people communicating at a cafe.,0
A light brown dog is running in a grassy area.,A dog is running on the grass.,0
Two lines of colorful cars racing on a racetrack.,Some people are driving cars,1
A mother and her two children bonding over dinner.,Three people eating breakfast.,2
A young girl showing her purple tongue,A person shows their tongue.,0
A man is having his teeth inspected by a dentist.,The dentist searches for cavities in the patient's mouth.,1
A man wearing glasses and a blazer stands in front of a billboard sign.,A man is sleeping on the ground,2
Two people ride past old cars on an old street.,Two people sitting in old cars,2
Swimmer in the water takes time to contemplate the race.,The person is sleeping.,2
Four teenage boys are doing cannonballs into a swimming pool.,A group of young men are splashing a lot of water.,0
Two players hustle during a soccer game.,The two teams are fighting for the ball,1
The beast may ruin the objects.,Animals tend to ruin things,1
A man sitting on sidewalk with shirt over his head.,The man is shielding the sun from his face.,1
"A man is angrily boxing another, jabbing his left fist into the neck of the other.",The women's boxing league championship.,2
A man wearing black clothing and a black hat looking at a woman in a hat chew her finger.,This man matches,1
people are playing a carnival game.,a group is sitting down on a rug in a house,2
A man in a black shirt is bent over a motorcycle.,A man is leaning over a motor bike.,0
A man in blue cap is holding the net.,A man is playing basketball,2
A man in glasses smiles as he answers the phone in the office.,A person answers the telephone inside while smiling.,0
The mother and child have a personal moment in the yard.,A woman is kidnapping a child and putting it in the turnk.,2
"At a crowded outdoor event, many people are milling about, with four girls playing jump-rope in the immediate foreground.",Children play at an event.,0
Elderly women making crafts.,The women are old,0
There are two people flying a red and blue parachute in a wide open space on a semi-cloudy day.,a man sits on the grass,2
A boy with a yellow and black soccer uniform trying to score a goal.,A young boy in a uniform gets the ball from his rival.,1
A young boy looks at a yellow and red stuffed soccer ball.,A young boy looks at a blue and green stuffed soccer ball.,2
A man and a woman standing on a street corner.,There are two people outside,0
a girl stands in the train tracks.,A girl is on some train tracks.,0
Man receives kiss from hairy alpaca.,a guy is at a petting zoo,1
A belly dancer wearing a red and gold costume stands with her arms above her head.,A gorilla dressed as a belly dancer overturns a table.,2
"Many cheerleaders, all in black, orange, and white, are waiting to catch three other cheerleaders who are in the air.",People sit on the ground.,2
"A man in a red shirt is giving a lecture in an auditorium, with two men sitting at a desk at the front of the full room.",Man giving lecture in auditorium,0
A group of people are gathered on a sidewalk decorated with palm trees.,A group is on the sidewalk.,0
A guy fishing in a lake almost gets pulled into the water by something,A man who is fishing drinks a beer on his boat.,2
"Several men in gray collared shirts walking down the street, three of which are playing bagpipes and one a drum.",The men are shirtless,2
Here is a picture of the side of an airplane where the linen and garbage is being thrown out.,There's garbage being hurled.,0
The dog is running with food in his mouth.,A dog lays in the sunshine,2
Young children hold Spalding basketballs.,A school basketball team poses.,1
A man uses his cellphone on the street.,The man is using a payphone.,2
a man wearing a jean jacket ND a pair of jeans walking next to a red brick building.,The man is wearing a jacket.,0
Little girl with a teddy bear riding a pony.,A little girl is riding her pet.,1
A male is sitting down on the beach playing a guitar.,A male  is standing on the beach playing a guitar.,2
"A guy playing tennis, two nearby spectators, and a crowd watching.",the man is playing against someone,0
Two athletes participate in Japanese wrestling match.,A Japanese wrestling match is between two people fighting for sushi.,1
baby boy giggles while he tries to get up on his feet supported by a couch in a living room filled with toys.,"A grandmother sits in her rocking chair, with a cat on her lap.",2
A man in a black shirt plays the guitar surrounded by drinks.,Someone is playing a guitar,0
Small group of people putting on some kind of a performance.,A small group is barbecuing.,2
A long journey has a small child passed out in a caring adult's lap.,A child is passed out.,0
"Woman with an iced coffee in hand, walking down the street.",a woman is inside smoking,2
A man is standing in front of a chalkboard pointing at diagrams,A woman is lying down behind the chalkboard.,2
A little boy in a red and white-striped shirt and shorts sits among large plants.,A little boy is sitting by plants.,0
Two young ladies sitting on a bench eating ice cream cones.,Two young laddies are eating cold stuff.,0
A German Shepherd jumping in midair.,A police dog in training.,1
A man jumps and does the splits in midair.,the guy does a mid-air split,0
a girl in a red skirt with some hula hoops,A girl is wearing red.,0
The person is dress from head to toe in white and is walking on the street.,Person walking.,0
A man with a blue helmet sitting on his motorcycle riding on the road.,The man is going fast.,1
"Two people, wearing long sleeves and helmets, ride bikes downhill.",Two kids ride bikes without helmets.,2
Men together in a meeting sitting in a studio with music sheets in front of them.,Recording artists are getting together about a new album.,1
A man kayaking in wild foamy water.,A man kayaking outside.,0
A boy is making a huge splash in a paddling pool.,A boy is in a plane,2
A man depressingly glancing down as he sees a majority of his hair drop to the floor at the barbers.,A man is getting an unwanted hair cut,1
A woman giving a dog a haircut.,A woman is giving a hair cut.,0
male biker bikes through the woods.,A human is biking,0
"An man from African descent wearing a white shirt, brown trousers and glasses is playing an accordion on a stage at a festival.",He plays a mean guitar,2
A man in a costume entertains four kids.,A young child sits inside the house.,2
"A woman in a red jacket, with a blue and gold handbag is jumping while smiling on a cobblestone street.",A woman is outside.,0
A group of jacketed people are marching down the street in the rain while cars drive along side them.,Cars drive along in the rain while a group of people march down the street beside them.,0
"A little girl in pink, blue, and red walk the city alleyway after a rainy day.",A little girl is riding a bus,2
A man with a tennis racket in a field.,The man is holding a basketball inside the stadium.,2
Two dogs play on the shore.,Some animals playing,0
A man and a woman are sitting in chairs playing their violins with smiles on their faces.,People are sitting in chairs playing their violins with smiles on their faces.,0
A bride laughs as an older man speaks into a microphone.,The groom called off the wedding and the bride cried,2
A man in white kissing a child in red.,There is a man watching someone being kissed,2
Two dogs are running through the grass.,two kids playing,2
Two ladies are eating lunch outside.,A family watched tv in the living room.,2
A man sits on the stage giving technical assistance for a performance.,A man on stage who is the main actor.,2
Two jockeys race to the finish line.,Two men are riding horses leisurely through a field.,2
A boy in a swimsuit sitting on top of a circular fountain.,A human sitting,0
A small boy grins in a crowd full of people posing with their eyes closed in a sleeping position.,A person grinning,0
Asian women at a party are talking by the wall.,The men talked by the door.,2
Many people crowded on some sort of public transportation.,A lot of people are amassed together in a subway.,0
a group of children sitting on the floor at a dance class.,Kids are in class,0
Four young adult females are seated on a black leather couch with alcoholic beverages.,A group of girls are talking.,1
A man in a black jacket with a guitar talks to another man.,There are some people in this picture,0
Spectators in sunglasses at an event.,A person wearing sunglasses talks to some people.,1
A young man in a Speedo is preparing to swim.,A man in winter clothes getting ready to ski.,2
"A man is on stage singing, while the band plays behind him.",A man is surrounded by people.,0
A group of children look into a barrel.,The chickens are hungry,1
"A couple lying in the grass, one relaxing and the other writing in her notebook.",A couple laying together in the grass as the woman writes in her notebook outside.,0
There are a couple of old men sitting on a concrete bench outside.,Young boys are sitting inside.,2
Two young men and a woman doing yard work on a green lawn in front of a driveway.,3 women paint a mural.,2
A shiny brown motorcycle being viewed by a few people.,The couple is deciding whether to buy the truck.,2
a brown dog running along the dirt shore of a stream,A brown dog is chasing a ball along the shore of a stream.,1
A group of people is enjoying a dinner in a pink dining room.,Everyone is sleeping on the floor.,2
